21:03:20 INFO  : Registering command handlers for SDK TCF services
21:52:18 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:53:02 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:53:02 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:53:03 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:56:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:56:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:56:21 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:00:59 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:00:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:01:00 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:02:28 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:02:28 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:02:29 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:04:39 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:04:39 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:04:40 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:13:17 INFO  : Registering command handlers for SDK TCF services
22:13:18 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\matta\Vivado_projects\video_sampler\video_sampler.sdk\temp_xsdb_launch_script.tcl
22:13:21 INFO  : XSCT server has started successfully.
22:13:21 INFO  : Successfully done setting XSCT server connection channel  
22:13:23 INFO  : Successfully done setting SDK workspace  
22:13:23 INFO  : Processing command line option -hwspec C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete.hdf.
22:13:23 INFO  : Checking for hwspec changes in the project mcs_top_complete_hw_platform_0.
22:15:16 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:15:18 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:15:19 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:18:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:18:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:18:12 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:22:53 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:22:53 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:22:54 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:28:48 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:28:48 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:28:49 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:30:50 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:30:50 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:30:51 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
22:33:07 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:33:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
22:33:08 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
11:54:54 INFO  : Registering command handlers for SDK TCF services
11:54:55 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\matta\Vivado_projects\video_sampler\video_sampler.sdk\temp_xsdb_launch_script.tcl
11:54:58 INFO  : XSCT server has started successfully.
11:54:58 INFO  : Successfully done setting XSCT server connection channel  
11:55:01 INFO  : Successfully done setting SDK workspace  
11:55:01 INFO  : Processing command line option -hwspec C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete.hdf.
11:55:01 INFO  : Checking for hwspec changes in the project mcs_top_complete_hw_platform_0.
11:56:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:56:02 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
11:56:04 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
11:59:56 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:59:56 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
11:59:57 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:11:22 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:11:23 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:11:24 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:13:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:13:01 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:13:02 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:14:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:14:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:14:35 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:17:05 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:17:05 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:17:06 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:17:39 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:17:40 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:17:41 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:18:53 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:18:53 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:18:54 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:21:44 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:21:44 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:21:45 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:22:19 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:22:19 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:22:20 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:25:37 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:25:37 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:25:38 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:32:26 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:32:26 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:32:27 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
12:46:19 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:46:19 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
12:46:20 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:03:07 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:03:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:03:08 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:04:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:04:12 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:04:13 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:12:17 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:12:17 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:12:18 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:13:15 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:13:15 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:13:16 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:14:33 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:17:25 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:17:25 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292742633A" && level==0} -index 0' command is executed.
13:17:26 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:19:35 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:19:35 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292742633A" && level==0} -index 0' command is executed.
13:19:36 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:21:36 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:21:36 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292742633A" && level==0} -index 0' command is executed.
13:21:37 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:22:24 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:22:24 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292742633A" && level==0} -index 0' command is executed.
13:22:25 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:22:59 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:22:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292742633A" && level==0} -index 0' command is executed.
13:23:00 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:25:22 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:25:22 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:25:23 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:27:35 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:28:07 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:28:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:28:08 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:28:59 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:28:59 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:29:00 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:29:39 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:29:39 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:29:40 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:30:28 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:30:28 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:30:29 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:32:02 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:32:02 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:32:03 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:34:40 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:34:40 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:34:41 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:37:07 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:37:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:37:08 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:39:30 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:39:30 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:39:31 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
13:40:51 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:40:51 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
13:40:52 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
14:10:17 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:10:17 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
14:10:18 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
14:12:22 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:12:22 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
14:12:23 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
14:13:02 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:13:02 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
14:13:03 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
14:13:51 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:13:51 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
14:13:52 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:09:16 INFO  : Registering command handlers for SDK TCF services
20:09:17 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\matta\Vivado_projects\video_sampler\video_sampler.sdk\temp_xsdb_launch_script.tcl
20:09:21 INFO  : XSCT server has started successfully.
20:09:21 INFO  : Successfully done setting XSCT server connection channel  
20:09:24 INFO  : Processing command line option -hwspec C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete.hdf.
20:09:24 INFO  : Successfully done setting SDK workspace  
20:09:24 INFO  : Checking for hwspec changes in the project mcs_top_complete_hw_platform_0.
20:10:00 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:10:02 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:10:03 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:13:43 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:13:43 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:13:45 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:20:24 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:20:24 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:20:25 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:28:16 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:28:17 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:28:18 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:29:01 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:29:01 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:29:02 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:33:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:33:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:33:21 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:39:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:39:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:39:21 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:40:23 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:40:23 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:40:24 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:42:10 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:42:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:42:12 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:46:00 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:46:00 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
20:46:01 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
20:46:43 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
20:46:44 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
